src,tgt,lag,src_name,tgt_name,p_value,coef
0,0,1,SPX,SPX,0.0,0.23958
1,0,2,SX5E,SPX,0.0,0.26869
2,0,3,NKY,SPX,0.03082,-0.03057
1,1,3,SX5E,SX5E,0.0,0.25462
2,1,1,NKY,SX5E,0.0,0.24042
0,2,3,SPX,NKY,0.0,0.24078
3,2,1,FTSE,NKY,0.0,0.17094
2,3,2,NKY,FTSE,0.0,0.20761
3,3,1,FTSE,FTSE,0.0,0.23702
